Finding Name,Severity,Status,Description,Recommendation,Vulnerability References,Affected Components,Tags
EKS Cluster Version,Informational,Open,Cluster 'eks-enterprise-lab' is running Kubernetes version '1.29' and EKS platform version 'eks.61'.,Ensure the Kubernetes version is supported and patched. Regularly review EKS platform version updates and plan upgrades before end-of-support.,AWS Best Practice / Version Management,eks-enterprise-lab,"EKS,Kubernetes,Security,EKS Cluster"
EKS Public API Endpoint Access Enabled,Low,Open,EKS cluster 'eks-enterprise-lab' API endpoint is publicly accessible from specific CIDRs: ['203.0.113.50/32'].,"Ensure the allowed CIDRs are necessary, restricted to the minimum required ranges, and regularly reviewed. Prefer using the private endpoint ('endpointPrivateAccess: true') where possible.",CIS EKS 5.4.1,eks-enterprise-lab,"EKS,Kubernetes,Security,EKS Cluster"
EKS Control Plane Logging Disabled,Medium,Open,"EKS cluster 'eks-enterprise-lab' does not have all recommended control plane log types enabled. Missing: authenticator, controllerManager, scheduler. This hinders security auditing, incident response, and operational troubleshooting.","Enable all recommended control plane log types (api, audit, authenticator, controllerManager, scheduler) in the cluster's logging configuration to ensure comprehensive visibility into control plane activities.",CIS EKS 2.1.1,eks-enterprise-lab,"EKS,Kubernetes,Security,EKS Cluster"
EKS Secrets Encryption Enabled,Informational,Open,EKS cluster 'eks-enterprise-lab' has envelope encryption enabled for secrets using KMS key: arn:aws:kms:us-east-1:123456789012:key/xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx.,Ensure the KMS key policy follows the principle of least privilege and that key rotation is considered.,CIS EKS 5.3.1,eks-enterprise-lab,"EKS,Kubernetes,Security,EKS Cluster"
EKS Cluster IAM Role Identified,Informational,Open,EKS cluster 'eks-enterprise-lab' uses IAM role: eks-enterprise-lab-cluster-20260216024953786600000003 (arn:aws:iam::123456789012:role/eks-enterprise-lab-cluster-20260216024953786600000003).,"Review the policies attached to this role (e.g., AmazonEKSClusterPolicy). Ensure they are not overly permissive and adhere to least privilege. Consider deeper analysis if IAM permissions allow.",AWS Best Practice / IAM,eks-enterprise-lab,"EKS,Kubernetes,Security,EKS Cluster IAM Role"
Nodegroup Configuration Info,Informational,Open,"Nodegroup 'main-20260216030203877900000024': AMI Type 'AL2_x86_64', Version '1.29.15-20251209', Instances 't3.medium', Node Role 'main-eks-node-group-20260216024953786500000001'.",Informational finding detailing the nodegroup configuration.,N/A,eks-enterprise-lab/main-20260216030203877900000024,"EKS,Kubernetes,Security,EKS Nodegroup"
Nodegroup SSH Access Disabled,Informational,Open,Nodegroup 'main-20260216030203877900000024' does not have EC2 SSH key configured in its remote access settings.,Direct SSH access to nodes via the EKS nodegroup configuration is disabled. Verify launch template overrides if applicable.,CIS EKS 5.4.3,eks-enterprise-lab/main-20260216030203877900000024,"EKS,Kubernetes,Security,EKS Nodegroup"
Nodegroup IAM Role Identified,Informational,Open,Nodegroup 'main-20260216030203877900000024' uses Node IAM role: main-eks-node-group-20260216024953786500000001 (arn:aws:iam::123456789012:role/main-eks-node-group-20260216024953786500000001).,"Review policies attached (e.g., AmazonEKSWorkerNodePolicy, AmazonEC2ContainerRegistryReadOnly, AmazonEKS_CNI_Policy). Ensure no unnecessary permissions (e.g., broad EC2/S3 access). Consider deeper analysis if IAM permissions allow.",AWS Best Practice / IAM,eks-enterprise-lab/main-20260216030203877900000024,"EKS,Kubernetes,Security,EKS Nodegroup IAM Role"
Node IAM Role Has Overly Broad Policy,Medium,Open,Nodegroup 'main-20260216030203877900000024' node role has 'SecretsManagerReadWrite' attached. This grants excessive permissions to all pods on these nodes (unless IRSA is used).,Remove 'SecretsManagerReadWrite' from the node role and use IRSA (IAM Roles for Service Accounts) to grant specific permissions to individual workloads.,AWS Best Practice / Least Privilege,eks-enterprise-lab/main-20260216030203877900000024,"EKS,Kubernetes,Security,EKS Nodegroup"
Node IAM Role Has Overly Broad Policy,Medium,Open,Nodegroup 'main-20260216030203877900000024' node role has 'AmazonS3FullAccess' attached. This grants excessive permissions to all pods on these nodes (unless IRSA is used).,Remove 'AmazonS3FullAccess' from the node role and use IRSA (IAM Roles for Service Accounts) to grant specific permissions to individual workloads.,AWS Best Practice / Least Privilege,eks-enterprise-lab/main-20260216030203877900000024,"EKS,Kubernetes,Security,EKS Nodegroup"
